X	Type	Cluster	halo	delta	Sex	Time	Size_Factor	CellType	peaks	rho	Pseudotime	State	
cell_60	cell_60	ES	FALSE	FALSE	0	0	5	1.126471782	1	0.137671854	1.925452254	12.41630964	2
cell_61	cell_61	ES	FALSE	FALSE	0	0	5	1.245882637	1	0.159342894	1.483778453	13.80276003	3
cell_62	cell_62	ES	FALSE	FALSE	0	0	5	1.144097	1	0.141568937	3.944637487	13.90649426	3
cell_63	cell_63	ES	FALSE	FALSE	0	0	6	1.153129925	3	0.196570622	4.078064525	19.30064079	5
cell_64	cell_64	ES	FALSE	FALSE	0	0	6	1.26240628	3	0.191282315	2.971935998	19.39564539	5
cell_65	cell_65	ES	FALSE	FALSE	0	0	6	1.165687893	3	0.455813909	3.998130769	19.3167807	5
cell_66	cell_66	ES	FALSE	FALSE	0	0	6	1.180008383	3	0.226231917	2.585320804	19.24764828	5
cell_67	cell_67	ES	FALSE	FALSE	0	0	6	1.21988544	3	0.100990719	3.848184417	19.3901927	5
cell_68	cell_68	ES	FALSE	FALSE	0	0	6	1.209971255	3	0.111793703	3.875344838	19.3034937	5
cell_69	cell_69	ES	TRUE	FALSE	0	0	6	1.230901202	3	7.521529575	4.233062359	19.40463717	5
cell_70	cell_70	ES	FALSE	FALSE	0	0	6	1.228037104	3	0.105235883	3.884200432	19.3040582	5
cell_71	cell_71	ES	FALSE	FALSE	0	0	6	1.274523618	3	0.100070507	3.265290351	19.41608713	5
cell_72	cell_72	ES	FALSE	FALSE	0	0	6	1.230019941	3	0.17496403	3.310071526	19.38966196	5
cell_73	cell_73	ES	FALSE	FALSE	0	0	6	1.342160394	3	0.247470917	3.244321382	19.50637286	5
cell_74	cell_74	ES	FALSE	FALSE	0	0	6	1.177144285	3	0.251461997	3.891316708	19.21534625	5
cell_75	cell_75	ES	FALSE	FALSE	0	0	6	1.264389117	3	0.312878239	2.395321374	19.28281665	5
cell_76	cell_76	ES	FALSE	FALSE	0	0	6	1.318586664	3	0.599161725	0.338027987	13.99783698	3
